ST,BT,AD,JS,Annual precipitation,Average annual temp range,Freezing index,Compressive strength,Elastic modulus,Density of concrete,Modulus of rupture,Tensile strength,Age,LC for 100 m length
8.3,6.3,4589,4.618181818,1072.199951,16.5,62,5688.5,4478571.429,140.5142866,561.6666667,566,5,32.93963242
8.3,6.3,4644,4.618181818,1397.5,16.60000038,31,5688.5,4478571.429,140.5142866,561.6666667,566,6,41.60105087
8.3,6.3,4331,4.618181818,1265.800049,16.29999924,23,5688.5,4478571.429,140.5142866,561.6666667,566,7,53.67454081
8.3,6.3,4691,4.618181818,1173.599976,16.39999962,24,5688.5,4478571.429,140.5142866,561.6666667,566,8,72.76903112
8.3,6.3,4328,4.618181818,1565,16.60000038,31,5688.5,4478571.429,140.5142866,561.6666667,566,9,80.44619573
8.3,6.3,5443,4.618181818,1425.800049,17,20,5688.5,4478571.429,140.5142866,561.6666667,566,12,89.43569754
8.3,6.3,5062,4.618181818,1696.099976,16,24,5688.5,4478571.429,140.5142866,561.6666667,566,13,98.29396526
8.3,6.3,5031,4.618181818,993.5,17.20000076,56,5688.5,4478571.429,140.5142866,561.6666667,566,15,105.9711299
8.3,6.3,5135,4.618181818,1262.599976,18.5,10,5688.5,4478571.429,140.5142866,561.6666667,566,17,110.5643057
8.3,6.3,5170,4.618181818,1378.300049,16,11,5688.5,4478571.429,140.5142866,561.6666667,566,18,120.6692936
8.2,6.4,4589,4.618181818,1072.199951,16.5,62,9799.055556,3920000,140.6799988,794,861.2,5,24.01574859
8.2,6.4,4644,4.618181818,1397.5,16.60000038,31,9799.055556,3920000,140.6799988,794,861.2,6,60.89238858
8.2,6.4,4331,4.618181818,1265.800049,16.29999924,23,9799.055556,3920000,140.6799988,794,861.2,7,71.52231221
8.2,6.4,4691,4.618181818,1173.599976,16.39999962,24,9799.055556,3920000,140.6799988,794,861.2,8,70.93176003
8.2,6.4,4328,4.618181818,1565,16.60000038,31,9799.055556,3920000,140.6799988,794,861.2,9,77.03411923
8.2,6.4,5443,4.618181818,1425.800049,17,20,9799.055556,3920000,140.6799988,794,861.2,12,81.82414498
8.2,6.4,5062,4.618181818,1696.099976,16,24,9799.055556,3920000,140.6799988,794,861.2,13,90.09186352
8.2,6.4,5031,4.618181818,993.5,17.20000076,56,9799.055556,3920000,140.6799988,794,861.2,15,97.11286042
8.2,6.4,5135,4.618181818,1262.599976,18.5,10,9799.055556,3920000,140.6799988,794,861.2,17,99.73753383
8.2,6.4,5170,4.618181818,1378.300049,16,11,9799.055556,3920000,140.6799988,794,861.2,18,110.892387
11.1,6.1,4331,4.618181818,1265.800049,16.29999924,23,5469.222222,3250000,140.3000031,558.3333333,738,7,0.262467196
11.1,6.1,4691,4.618181818,1173.599976,16.39999962,24,5469.222222,3250000,140.3000031,558.3333333,738,8,0.262467196
11.1,6.1,4328,4.618181818,1565,16.60000038,31,5469.222222,3250000,140.3000031,558.3333333,738,9,0.262467196
11.1,6.1,5443,4.618181818,1425.800049,17,20,5469.222222,3250000,140.3000031,558.3333333,738,12,0.32808399
11.1,6.1,5062,4.618181818,1696.099976,16,24,5469.222222,3250000,140.3000031,558.3333333,738,13,0.32808399
11.1,6.1,5031,4.618181818,993.5,17.20000076,56,5469.222222,3250000,140.3000031,558.3333333,738,15,0.32808399
9.8,6.4,1066,4.354285714,1418.699951,16.39999962,38,4657,4207644,140.9500046,740.4,557,18,102.9527582
9.8,6.4,1169,4.354285714,1034.300049,16.79999924,62,4657,4207644,140.9500046,740.4,557,21,111.7454063
9.8,6.4,2563,4.354285714,1395.199951,16.89999962,26,4657,4207644,140.9500046,740.4,557,22,110.0393681
9.8,6.4,1129,4.354285714,1351.099976,16.70000076,16,4657,4207644,140.9500046,740.4,557,23,111.679788
9.8,6.4,1308,4.354285714,1078.900024,16.60000038,27,4657,4207644,140.9500046,740.4,557,24,111.023618
9.8,6.4,742,4.354285714,1523,17.10000038,26,4657,4207644,140.9500046,740.4,557,25,51.64041795
9.8,6.4,1210,4.354285714,942.7000122,17.5,10,4657,4207644,140.9500046,740.4,557,26,51.18110236
9.8,6.4,1275,4.354285714,1208.300049,17.5,16,4657,4207644,140.9500046,740.4,557,27,50.91863417
9.8,6.4,1252,4.354285714,1345.699951,17.5,12,4657,4207644,140.9500046,740.4,557,28,51.50918635
9.8,6.4,1238,4.354285714,1596.800049,16.39999962,18,4657,4207644,140.9500046,740.4,557,29,58.00524729
10.2,6,1035,4.621212121,1265.400024,16.29999924,74,5556,3800000,140.9500046,740.4,705,17,160.6229488
10.2,6,1066,4.621212121,1418.699951,16.39999962,38,5556,3800000,140.9500046,740.4,705,18,129.9016433
10.2,6,1169,4.621212121,1034.300049,16.79999924,62,5556,3800000,140.9500046,740.4,705,21,147.3442603
10.2,6,2563,4.621212121,1395.199951,16.89999962,26,5556,3800000,140.9500046,740.4,705,22,158.8524571
10.2,6,1129,4.621212121,1351.099976,16.70000076,16,5556,3800000,140.9500046,740.4,705,23,161.0819632
10.2,6,1308,4.621212121,1078.900024,16.60000038,27,5556,3800000,140.9500046,740.4,705,24,155.3442643
10.2,6,742,4.621212121,1523,17.10000038,26,5556,3800000,140.9500046,740.4,705,25,123.9672091
10.2,6,1210,4.621212121,942.7000122,17.5,10,5556,3800000,140.9500046,740.4,705,26,133.5737666
10.2,6,1275,4.621212121,1208.300049,17.5,16,5556,3800000,140.9500046,740.4,705,27,136.0983567
10.2,6,1252,4.621212121,1345.699951,17.5,12,5556,3800000,140.9500046,740.4,705,28,120.9836045
10.2,6,1238,4.621212121,1596.800049,16.39999962,18,5556,3800000,140.9500046,740.4,705,29,120.9836107
